scenario,eta,n_requests_total,served_rate,miss_deadline_rate_given_served,mean_slack_for_success,mean_t_done_for_success
BK,0.010000,6000,0.021833,0.000000,2.203016,2.799197
BK,0.030000,6000,0.021833,0.000000,2.203016,2.799197
BK,0.050000,6000,0.021833,0.000000,2.203016,2.799197
BK,0.100000,6000,0.021833,0.000000,2.203016,2.799197
BK,0.150000,6000,0.021833,0.000000,2.203016,2.799197
BK,0.300000,6000,0.021833,0.000000,2.203016,2.799197
BK,0.500000,6000,0.021833,0.000000,2.203016,2.799197
BK,0.800000,6000,0.021833,0.000000,2.203016,2.799197
EQT,0.010000,6000,0.032500,0.000000,2.329528,2.672531
EQT,0.030000,6000,0.032500,0.000000,2.329528,2.672531
EQT,0.050000,6000,0.032500,0.000000,2.329528,2.672531
EQT,0.100000,6000,0.032500,0.000000,2.329528,2.672531
EQT,0.150000,6000,0.032500,0.000000,2.329528,2.672531
EQT,0.300000,6000,0.032500,0.000000,2.329528,2.672531
EQT,0.500000,6000,0.032500,0.000000,2.329528,2.672531
EQT,0.800000,6000,0.032500,0.000000,2.329528,2.672531
