scenario,eta,n_seeds,n_requests_total,mean_success_rate,std_success_rate,ci95_low,ci95_high
BK,0.010000,30,6000,0.021833,0.002780,0.020838,0.022828
BK,0.030000,30,6000,0.021833,0.002780,0.020838,0.022828
BK,0.050000,30,6000,0.021833,0.002780,0.020838,0.022828
BK,0.100000,30,6000,0.021833,0.002780,0.020838,0.022828
BK,0.150000,30,6000,0.021833,0.002780,0.020838,0.022828
BK,0.300000,30,6000,0.021833,0.002780,0.020838,0.022828
BK,0.500000,30,6000,0.021833,0.002780,0.020838,0.022828
BK,0.800000,30,6000,0.021833,0.002780,0.020838,0.022828
EQT,0.010000,30,6000,0.032500,0.003149,0.031373,0.033627
EQT,0.030000,30,6000,0.032500,0.003149,0.031373,0.033627
EQT,0.050000,30,6000,0.032500,0.003149,0.031373,0.033627
EQT,0.100000,30,6000,0.032500,0.003149,0.031373,0.033627
EQT,0.150000,30,6000,0.032500,0.003149,0.031373,0.033627
EQT,0.300000,30,6000,0.032500,0.003149,0.031373,0.033627
EQT,0.500000,30,6000,0.032500,0.003149,0.031373,0.033627
EQT,0.800000,30,6000,0.032500,0.003149,0.031373,0.033627
