scenario,eta,n_seeds,n_requests_total,mean_success_rate,std_success_rate,ci95_low,ci95_high
BK,1e-05,30,6000,0.0,0.0,0.0,0.0
BK,3e-05,30,6000,0.0,0.0,0.0,0.0
BK,0.0001,30,6000,0.0,0.0,0.0,0.0
BK,0.0003,30,6000,0.0,0.0,0.0,0.0
BK,0.001,30,6000,0.0,0.0,0.0,0.0
BK,0.003,30,6000,0.0,0.0,0.0,0.0
BK,0.01,30,6000,0.0,0.0,0.0,0.0
BK,0.03,30,6000,0.0,0.0,0.0,0.0
BK,0.1,30,6000,0.0,0.0,0.0,0.0
BK,0.3,30,6000,0.0,0.0,0.0,0.0
BK,0.5,30,6000,0.0,0.0,0.0,0.0
BK,0.8,30,6000,0.0,0.0,0.0,0.0
EQT,1e-05,30,6000,0.0,0.0,0.0,0.0
EQT,3e-05,30,6000,0.0,0.0,0.0,0.0
EQT,0.0001,30,6000,0.0,0.0,0.0,0.0
EQT,0.0003,30,6000,0.0,0.0,0.0,0.0
EQT,0.001,30,6000,0.0,0.0,0.0,0.0
EQT,0.003,30,6000,0.0,0.0,0.0,0.0
EQT,0.01,30,6000,0.0,0.0,0.0,0.0
EQT,0.03,30,6000,0.0,0.0,0.0,0.0
EQT,0.1,30,6000,0.0,0.0,0.0,0.0
EQT,0.3,30,6000,0.0,0.0,0.0,0.0
EQT,0.5,30,6000,0.0,0.0,0.0,0.0
EQT,0.8,30,6000,0.0,0.0,0.0,0.0
