study,scenario,eta,k,seed,success_rate
study_eta_sanity,DQT,0.05,0,0,0.03
study_eta_sanity,DQT,0.05,0,1,0.025
study_eta_sanity,DQT,0.05,0,2,0.03
study_eta_sanity,DQT,0.05,0,3,0.025
study_eta_sanity,DQT,0.05,0,4,0.025
study_eta_sanity,DQT,0.05,0,5,0.03
study_eta_sanity,DQT,0.05,0,6,0.025
study_eta_sanity,DQT,0.05,0,7,0.03
study_eta_sanity,DQT,0.05,0,8,0.03
study_eta_sanity,DQT,0.05,0,9,0.03
study_eta_sanity,DQT,0.95,0,0,0.03
study_eta_sanity,DQT,0.95,0,1,0.025
study_eta_sanity,DQT,0.95,0,2,0.03
study_eta_sanity,DQT,0.95,0,3,0.025
study_eta_sanity,DQT,0.95,0,4,0.025
study_eta_sanity,DQT,0.95,0,5,0.03
study_eta_sanity,DQT,0.95,0,6,0.025
study_eta_sanity,DQT,0.95,0,7,0.03
study_eta_sanity,DQT,0.95,0,8,0.03
study_eta_sanity,DQT,0.95,0,9,0.03
study_eta_sanity,EQT,0.05,0,0,0.03
study_eta_sanity,EQT,0.05,0,1,0.025
study_eta_sanity,EQT,0.05,0,2,0.03
study_eta_sanity,EQT,0.05,0,3,0.025
study_eta_sanity,EQT,0.05,0,4,0.025
study_eta_sanity,EQT,0.05,0,5,0.03
study_eta_sanity,EQT,0.05,0,6,0.025
study_eta_sanity,EQT,0.05,0,7,0.03
study_eta_sanity,EQT,0.05,0,8,0.03
study_eta_sanity,EQT,0.05,0,9,0.03
study_eta_sanity,EQT,0.95,0,0,0.03
study_eta_sanity,EQT,0.95,0,1,0.025
study_eta_sanity,EQT,0.95,0,2,0.03
study_eta_sanity,EQT,0.95,0,3,0.025
study_eta_sanity,EQT,0.95,0,4,0.025
study_eta_sanity,EQT,0.95,0,5,0.03
study_eta_sanity,EQT,0.95,0,6,0.025
study_eta_sanity,EQT,0.95,0,7,0.03
study_eta_sanity,EQT,0.95,0,8,0.03
study_eta_sanity,EQT,0.95,0,9,0.03
study_transducer_availability,BK,0.6,0,0,0.025
study_transducer_availability,BK,0.6,0,1,0.02
study_transducer_availability,BK,0.6,0,2,0.03
study_transducer_availability,BK,0.6,0,3,0.025
study_transducer_availability,BK,0.6,0,4,0.025
study_transducer_availability,BK,0.6,0,5,0.03
study_transducer_availability,BK,0.6,0,6,0.025
study_transducer_availability,BK,0.6,0,7,0.025
study_transducer_availability,BK,0.6,0,8,0.025
study_transducer_availability,BK,0.6,0,9,0.03
study_transducer_availability,BK,0.6,0,10,0.025
study_transducer_availability,BK,0.6,0,11,0.02
study_transducer_availability,BK,0.6,0,12,0.02
study_transducer_availability,BK,0.6,0,13,0.025
study_transducer_availability,BK,0.6,0,14,0.02
study_transducer_availability,BK,0.6,0,15,0.025
study_transducer_availability,BK,0.6,0,16,0.02
study_transducer_availability,BK,0.6,0,17,0.025
study_transducer_availability,BK,0.6,0,18,0.025
study_transducer_availability,BK,0.6,0,19,0.025
study_transducer_availability,BK,0.6,0,20,0.025
study_transducer_availability,BK,0.6,0,21,0.025
study_transducer_availability,BK,0.6,0,22,0.025
study_transducer_availability,BK,0.6,0,23,0.025
study_transducer_availability,BK,0.6,0,24,0.03
study_transducer_availability,BK,0.6,0,25,0.02
study_transducer_availability,BK,0.6,0,26,0.02
study_transducer_availability,BK,0.6,0,27,0.025
study_transducer_availability,BK,0.6,0,28,0.02
study_transducer_availability,BK,0.6,0,29,0.025
study_transducer_availability,BK,0.8,0,0,0.025
study_transducer_availability,BK,0.8,0,1,0.02
study_transducer_availability,BK,0.8,0,2,0.03
study_transducer_availability,BK,0.8,0,3,0.025
study_transducer_availability,BK,0.8,0,4,0.025
study_transducer_availability,BK,0.8,0,5,0.03
study_transducer_availability,BK,0.8,0,6,0.025
study_transducer_availability,BK,0.8,0,7,0.025
study_transducer_availability,BK,0.8,0,8,0.025
study_transducer_availability,BK,0.8,0,9,0.03
study_transducer_availability,BK,0.8,0,10,0.025
study_transducer_availability,BK,0.8,0,11,0.02
study_transducer_availability,BK,0.8,0,12,0.02
study_transducer_availability,BK,0.8,0,13,0.025
study_transducer_availability,BK,0.8,0,14,0.02
