request_id,src,dst,t_start,deadline,success,t_finish
1,A,B,0.0,0.05,1,0.0324450070830443
2,A,B,0.005,0.055,0,
3,A,B,0.01,0.06,0,
4,A,B,0.015,0.065,1,0.0646626867371257
5,A,B,0.02,0.07,0,
6,A,B,0.025,0.075,0,
7,A,B,0.03,0.08,0,
8,A,B,0.0349999999999999,0.0849999999999999,0,
9,A,B,0.04,0.09,0,
10,A,B,0.045,0.095,0,
11,A,B,0.05,0.1,1,0.0989870161142306
12,A,B,0.055,0.105,0,
13,A,B,0.06,0.11,0,
14,A,B,0.065,0.115,0,
15,A,B,0.0699999999999999,0.12,0,
16,A,B,0.075,0.125,1,0.124878041731454
17,A,B,0.08,0.13,0,
18,A,B,0.085,0.135,0,
19,A,B,0.09,0.14,0,
20,A,B,0.095,0.145,1,0.1424498316296231
