request_id,src,dst,t_start,deadline,success,t_finish
0,A,B,0.0,0.05,1,0.02651537701681158
1,A,B,0.0005,0.0505,0,
2,A,B,0.001,0.051000000000000004,0,
3,A,B,0.0015,0.051500000000000004,0,
4,A,B,0.002,0.052000000000000005,0,
5,A,B,0.0025000000000000005,0.052500000000000005,1,0.052015349984402784
6,A,B,0.003,0.053000000000000005,0,
7,A,B,0.0035000000000000005,0.053500000000000006,0,
8,A,B,0.004,0.054000000000000006,0,
9,A,B,0.0045,0.0545,0,
10,A,B,0.005000000000000001,0.05500000000000001,0,
11,A,B,0.0055000000000000005,0.0555,0,
12,A,B,0.006,0.056,0,
13,A,B,0.006500000000000001,0.0565,0,
14,A,B,0.007000000000000001,0.057,0,
15,A,B,0.0075,0.0575,0,
16,A,B,0.008,0.058,0,
17,A,B,0.0085,0.0585,0,
18,A,B,0.009,0.059000000000000004,0,
19,A,B,0.009500000000000001,0.059500000000000004,0,
20,A,B,0.010000000000000002,0.060000000000000005,0,
21,A,B,0.0105,0.060500000000000005,0,
22,A,B,0.011000000000000001,0.061000000000000006,0,
23,A,B,0.011500000000000002,0.061500000000000006,0,
24,A,B,0.012,0.062,0,
25,A,B,0.0125,0.0625,0,
26,A,B,0.013000000000000001,0.063,0,
27,A,B,0.013500000000000002,0.0635,0,
28,A,B,0.014000000000000002,0.064,0,
29,A,B,0.014499999999999999,0.0645,0,
30,A,B,0.015,0.065,0,
31,A,B,0.0155,0.0655,0,
32,A,B,0.016,0.066,0,
33,A,B,0.0165,0.0665,0,
34,A,B,0.017,0.067,0,
35,A,B,0.017499999999999998,0.0675,0,
36,A,B,0.018,0.068,0,
37,A,B,0.0185,0.0685,0,
38,A,B,0.019000000000000003,0.069,0,
39,A,B,0.019500000000000003,0.0695,0,
40,A,B,0.020000000000000004,0.07,0,
41,A,B,0.0205,0.07050000000000001,0,
42,A,B,0.021,0.07100000000000001,0,
43,A,B,0.021500000000000002,0.07150000000000001,0,
44,A,B,0.022000000000000002,0.07200000000000001,0,
45,A,B,0.022500000000000003,0.07250000000000001,0,
46,A,B,0.023000000000000003,0.07300000000000001,0,
47,A,B,0.0235,0.07350000000000001,1,0.0731355329606651
48,A,B,0.024,0.07400000000000001,0,
49,A,B,0.0245,0.07450000000000001,0,
50,A,B,0.025,0.07500000000000001,0,
51,A,B,0.025500000000000002,0.07550000000000001,0,
52,A,B,0.026000000000000002,0.07600000000000001,0,
53,A,B,0.026500000000000003,0.07650000000000001,0,
54,A,B,0.027000000000000003,0.07700000000000001,0,
55,A,B,0.027500000000000004,0.07750000000000001,0,
56,A,B,0.028000000000000004,0.07800000000000001,0,
57,A,B,0.028499999999999998,0.0785,0,
58,A,B,0.028999999999999998,0.079,0,
59,A,B,0.0295,0.0795,0,
60,A,B,0.03,0.08,0,
61,A,B,0.0305,0.0805,0,
62,A,B,0.031,0.081,0,
63,A,B,0.0315,0.0815,0,
64,A,B,0.032,0.082,0,
65,A,B,0.0325,0.0825,0,
66,A,B,0.033,0.083,0,
67,A,B,0.0335,0.0835,0,
68,A,B,0.034,0.084,0,
69,A,B,0.034499999999999996,0.08449999999999999,0,
70,A,B,0.034999999999999996,0.08499999999999999,0,
71,A,B,0.0355,0.08549999999999999,0,
72,A,B,0.036,0.086,0,
73,A,B,0.0365,0.0865,0,
74,A,B,0.037,0.087,0,
75,A,B,0.037500000000000006,0.08750000000000001,0,
76,A,B,0.038000000000000006,0.08800000000000001,0,
77,A,B,0.038500000000000006,0.08850000000000001,0,
78,A,B,0.03900000000000001,0.08900000000000001,0,
79,A,B,0.03950000000000001,0.08950000000000001,0,
80,A,B,0.04000000000000001,0.09000000000000001,0,
81,A,B,0.04050000000000001,0.09050000000000001,0,
82,A,B,0.041,0.091,0,
83,A,B,0.0415,0.0915,0,
84,A,B,0.042,0.092,0,
85,A,B,0.0425,0.0925,0,
86,A,B,0.043000000000000003,0.093,0,
87,A,B,0.043500000000000004,0.0935,0,
88,A,B,0.044000000000000004,0.094,0,
89,A,B,0.044500000000000005,0.0945,0,
90,A,B,0.045000000000000005,0.095,0,
91,A,B,0.045500000000000006,0.0955,0,
92,A,B,0.046000000000000006,0.096,0,
93,A,B,0.04650000000000001,0.0965,0,
94,A,B,0.047,0.097,1,0.09693028505820035
95,A,B,0.0475,0.0975,0,
96,A,B,0.048,0.098,0,
97,A,B,0.0485,0.0985,0,
98,A,B,0.049,0.099,0,
99,A,B,0.0495,0.0995,0,
100,A,B,0.05,0.1,0,
101,A,B,0.0505,0.1005,0,
102,A,B,0.051000000000000004,0.101,0,
103,A,B,0.051500000000000004,0.1015,0,
104,A,B,0.052000000000000005,0.10200000000000001,0,
105,A,B,0.052500000000000005,0.10250000000000001,0,
106,A,B,0.053000000000000005,0.10300000000000001,0,
107,A,B,0.053500000000000006,0.10350000000000001,0,
108,A,B,0.054000000000000006,0.10400000000000001,0,
109,A,B,0.05450000000000001,0.10450000000000001,0,
110,A,B,0.05500000000000001,0.10500000000000001,0,
111,A,B,0.05550000000000001,0.10550000000000001,0,
112,A,B,0.05600000000000001,0.10600000000000001,0,
113,A,B,0.056499999999999995,0.1065,0,
114,A,B,0.056999999999999995,0.107,0,
115,A,B,0.057499999999999996,0.1075,0,
116,A,B,0.057999999999999996,0.108,0,
117,A,B,0.058499999999999996,0.1085,0,
118,A,B,0.059,0.109,0,
119,A,B,0.0595,0.1095,0,
120,A,B,0.06,0.11,0,
121,A,B,0.0605,0.1105,0,
122,A,B,0.061,0.111,0,
123,A,B,0.0615,0.1115,0,
124,A,B,0.062,0.112,0,
125,A,B,0.0625,0.1125,0,
126,A,B,0.063,0.113,0,
127,A,B,0.0635,0.1135,0,
128,A,B,0.064,0.114,0,
129,A,B,0.0645,0.1145,0,
130,A,B,0.065,0.115,0,
131,A,B,0.0655,0.1155,0,
132,A,B,0.066,0.116,0,
133,A,B,0.0665,0.1165,0,
134,A,B,0.067,0.117,0,
135,A,B,0.0675,0.11750000000000001,0,
136,A,B,0.068,0.11800000000000001,0,
137,A,B,0.0685,0.11850000000000001,0,
138,A,B,0.06899999999999999,0.119,0,
139,A,B,0.06949999999999999,0.1195,0,
140,A,B,0.06999999999999999,0.12,0,
141,A,B,0.0705,0.1205,0,
142,A,B,0.071,0.121,0,
143,A,B,0.0715,0.1215,0,
