request_id,src,dst,t_start,deadline,success,t_finish
0,A,B,0.0,0.05,1,0.0325362113978446
1,A,B,0.0005,0.0505,0,
2,A,B,0.001,0.051,0,
3,A,B,0.0015,0.0515,0,
4,A,B,0.002,0.052,0,
5,A,B,0.0025,0.0525,0,
6,A,B,0.003,0.053,0,
7,A,B,0.0035,0.0535,0,
8,A,B,0.004,0.054,0,
9,A,B,0.0045,0.0545,0,
10,A,B,0.005,0.055,0,
11,A,B,0.0055,0.0555,0,
12,A,B,0.006,0.056,0,
13,A,B,0.0065,0.0565,0,
14,A,B,0.007,0.057,0,
15,A,B,0.0075,0.0575,0,
16,A,B,0.008,0.058,0,
17,A,B,0.0085,0.0585,1,0.0581260080981998
18,A,B,0.009,0.059,0,
19,A,B,0.0095,0.0595,0,
20,A,B,0.01,0.06,0,
21,A,B,0.0105,0.0605,0,
22,A,B,0.011,0.061,0,
23,A,B,0.0115,0.0615,0,
24,A,B,0.012,0.062,0,
25,A,B,0.0125,0.0625,0,
26,A,B,0.013,0.063,0,
27,A,B,0.0135,0.0635,0,
28,A,B,0.014,0.064,0,
29,A,B,0.0144999999999999,0.0645,0,
30,A,B,0.015,0.065,0,
31,A,B,0.0155,0.0655,0,
32,A,B,0.016,0.066,0,
33,A,B,0.0165,0.0665,0,
34,A,B,0.017,0.067,0,
35,A,B,0.0174999999999999,0.0675,0,
36,A,B,0.018,0.068,0,
37,A,B,0.0185,0.0685,0,
38,A,B,0.019,0.069,0,
39,A,B,0.0195,0.0695,0,
40,A,B,0.02,0.07,0,
41,A,B,0.0205,0.0705,0,
42,A,B,0.021,0.071,0,
43,A,B,0.0215,0.0715,0,
44,A,B,0.022,0.072,0,
45,A,B,0.0225,0.0725,0,
46,A,B,0.023,0.073,0,
47,A,B,0.0235,0.0735,0,
48,A,B,0.024,0.074,0,
49,A,B,0.0245,0.0745,0,
50,A,B,0.025,0.075,0,
51,A,B,0.0255,0.0755,0,
52,A,B,0.026,0.076,0,
53,A,B,0.0265,0.0765,0,
54,A,B,0.027,0.077,0,
55,A,B,0.0275,0.0775,0,
56,A,B,0.028,0.078,0,
57,A,B,0.0284999999999999,0.0785,0,
58,A,B,0.0289999999999999,0.079,0,
59,A,B,0.0295,0.0795,0,
60,A,B,0.03,0.08,0,
61,A,B,0.0305,0.0805,0,
62,A,B,0.031,0.081,0,
63,A,B,0.0315,0.0815,0,
64,A,B,0.032,0.082,0,
65,A,B,0.0325,0.0825,0,
66,A,B,0.033,0.083,0,
67,A,B,0.0335,0.0835,0,
68,A,B,0.034,0.084,1,0.0835135538443143
69,A,B,0.0344999999999999,0.0844999999999999,0,
70,A,B,0.0349999999999999,0.0849999999999999,0,
71,A,B,0.0355,0.0854999999999999,0,
72,A,B,0.036,0.086,0,
73,A,B,0.0365,0.0865,0,
74,A,B,0.037,0.087,0,
75,A,B,0.0375,0.0875,0,
76,A,B,0.038,0.088,0,
77,A,B,0.0385,0.0885,0,
78,A,B,0.039,0.089,0,
79,A,B,0.0395,0.0895,0,
80,A,B,0.04,0.09,0,
81,A,B,0.0405,0.0905,0,
82,A,B,0.041,0.091,0,
83,A,B,0.0415,0.0915,0,
84,A,B,0.042,0.092,0,
85,A,B,0.0425,0.0925,0,
86,A,B,0.043,0.093,0,
87,A,B,0.0435,0.0935,0,
88,A,B,0.044,0.094,0,
89,A,B,0.0445,0.0945,0,
90,A,B,0.045,0.095,0,
91,A,B,0.0455,0.0955,0,
92,A,B,0.046,0.096,0,
93,A,B,0.0465,0.0965,0,
94,A,B,0.047,0.097,0,
95,A,B,0.0475,0.0975,0,
96,A,B,0.048,0.098,0,
97,A,B,0.0485,0.0985,0,
98,A,B,0.049,0.099,0,
99,A,B,0.0495,0.0995,0,
100,A,B,0.05,0.1,0,
101,A,B,0.0505,0.1005,0,
102,A,B,0.051,0.101,0,
103,A,B,0.0515,0.1015,0,
104,A,B,0.052,0.102,0,
105,A,B,0.0525,0.1025,0,
106,A,B,0.053,0.103,0,
107,A,B,0.0535,0.1035,0,
108,A,B,0.054,0.104,0,
109,A,B,0.0545,0.1045,0,
110,A,B,0.055,0.105,0,
111,A,B,0.0555,0.1055,0,
112,A,B,0.056,0.106,0,
113,A,B,0.0564999999999999,0.1065,0,
114,A,B,0.0569999999999999,0.107,0,
115,A,B,0.0574999999999999,0.1075,0,
116,A,B,0.0579999999999999,0.108,0,
117,A,B,0.0584999999999999,0.1085,0,
118,A,B,0.059,0.109,0,
119,A,B,0.0595,0.1095,0,
120,A,B,0.06,0.11,0,
121,A,B,0.0605,0.1105,0,
122,A,B,0.061,0.111,0,
123,A,B,0.0615,0.1115,0,
124,A,B,0.062,0.112,0,
125,A,B,0.0625,0.1125,0,
126,A,B,0.063,0.113,0,
127,A,B,0.0635,0.1135,0,
128,A,B,0.064,0.114,0,
129,A,B,0.0645,0.1145,0,
130,A,B,0.065,0.115,0,
131,A,B,0.0655,0.1155,0,
132,A,B,0.066,0.116,0,
133,A,B,0.0665,0.1165,0,
134,A,B,0.067,0.117,0,
135,A,B,0.0675,0.1175,0,
136,A,B,0.068,0.118,0,
137,A,B,0.0685,0.1185,0,
138,A,B,0.0689999999999999,0.119,1,0.1188707432953365
139,A,B,0.0694999999999999,0.1195,0,
140,A,B,0.0699999999999999,0.12,0,
141,A,B,0.0705,0.1205,0,
142,A,B,0.071,0.121,0,
143,A,B,0.0715,0.1215,0,
144,A,B,0.072,0.122,0,
145,A,B,0.0725,0.1225,0,
146,A,B,0.073,0.123,0,
147,A,B,0.0735,0.1235,0,
148,A,B,0.074,0.124,0,
149,A,B,0.0745,0.1245,0,
150,A,B,0.075,0.125,0,
151,A,B,0.0755,0.1255,0,
152,A,B,0.076,0.126,0,
153,A,B,0.0765,0.1265,0,
154,A,B,0.077,0.127,0,
155,A,B,0.0775,0.1275,0,
156,A,B,0.078,0.128,0,
157,A,B,0.0785,0.1285,0,
158,A,B,0.079,0.129,0,
159,A,B,0.0795,0.1295,0,
160,A,B,0.08,0.13,0,
161,A,B,0.0805,0.1305,0,
162,A,B,0.081,0.131,0,
163,A,B,0.0815,0.1315,0,
164,A,B,0.082,0.132,0,
165,A,B,0.0825,0.1325,0,
166,A,B,0.083,0.133,0,
167,A,B,0.0835,0.1335,0,
168,A,B,0.084,0.134,0,
169,A,B,0.0845,0.1345,0,
170,A,B,0.085,0.135,0,
171,A,B,0.0855,0.1355,0,
172,A,B,0.086,0.136,0,
173,A,B,0.0865,0.1365,0,
174,A,B,0.087,0.137,0,
175,A,B,0.0875,0.1375,0,
176,A,B,0.088,0.138,1,0.1378702814324176
177,A,B,0.0885,0.1385,0,
178,A,B,0.089,0.139,0,
179,A,B,0.0895,0.1395,0,
180,A,B,0.09,0.14,0,
181,A,B,0.0905,0.1405,0,
182,A,B,0.091,0.141,0,
183,A,B,0.0915,0.1415,0,
184,A,B,0.092,0.142,0,
185,A,B,0.0925,0.1425,0,
186,A,B,0.093,0.143,0,
187,A,B,0.0935,0.1435,0,
188,A,B,0.094,0.144,0,
189,A,B,0.0945,0.1445,0,
190,A,B,0.095,0.145,0,
191,A,B,0.0955,0.1455,0,
192,A,B,0.096,0.146,0,
193,A,B,0.0965,0.1465,0,
194,A,B,0.097,0.147,0,
195,A,B,0.0975,0.1475,0,
196,A,B,0.098,0.148,0,
197,A,B,0.0985,0.1485,0,
198,A,B,0.099,0.149,0,
199,A,B,0.0995,0.1495,0,
