study,topology,scenario,eta,k,n_seeds,n_requests_total,mean_success_rate,std_success_rate,ci95_low,ci95_high
study_eta_threshold,nsfnet,BK,0.010000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_eta_threshold,nsfnet,BK,0.030000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_eta_threshold,nsfnet,BK,0.050000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_eta_threshold,nsfnet,BK,0.100000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_eta_threshold,nsfnet,BK,0.150000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_eta_threshold,nsfnet,BK,0.300000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_eta_threshold,nsfnet,BK,0.500000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_eta_threshold,nsfnet,BK,0.800000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_eta_threshold,nsfnet,EQT,0.010000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_eta_threshold,nsfnet,EQT,0.030000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_eta_threshold,nsfnet,EQT,0.050000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_eta_threshold,nsfnet,EQT,0.100000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_eta_threshold,nsfnet,EQT,0.150000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_eta_threshold,nsfnet,EQT,0.300000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_eta_threshold,nsfnet,EQT,0.500000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_eta_threshold,nsfnet,EQT,0.800000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_transducer_availability,nsfnet,BK,0.030000,0,30,6000,0.021833,0.002780,0.020838,0.022828
study_transducer_availability,nsfnet,DQT,0.030000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_transducer_availability,nsfnet,EQT,0.030000,0,30,6000,0.032500,0.003149,0.031373,0.033627
study_upgrade_k,nsfnet,BK,0.030000,0,30,6000,0.000000,0.000000,0.000000,0.000000
study_upgrade_k,nsfnet,EQT,0.030000,0,30,6000,0.000000,0.000000,0.000000,0.000000
study_upgrade_k,nsfnet,EQT_UPGRADE,0.030000,1,30,6000,0.000000,0.000000,0.000000,0.000000
study_upgrade_k,nsfnet,EQT_UPGRADE,0.030000,2,30,6000,0.000000,0.000000,0.000000,0.000000
study_upgrade_k,nsfnet,EQT_UPGRADE,0.030000,4,30,6000,0.000000,0.000000,0.000000,0.000000
study_upgrade_k,nsfnet,EQT_UPGRADE,0.030000,8,30,6000,0.000000,0.000000,0.000000,0.000000
study_topology_sweep,NSFNET13,BK,0.030000,0,30,6000,0.000000,0.000000,0.000000,0.000000
study_topology_sweep,NSFNET13,EQT,0.030000,0,30,6000,0.000000,0.000000,0.000000,0.000000
study_topology_sweep,TOP_0_SANET,BK,0.030000,0,30,6000,0.000000,0.000000,0.000000,0.000000
study_topology_sweep,TOP_0_SANET,EQT,0.030000,0,30,6000,0.000167,0.000913,0.000000,0.000493
study_topology_sweep,TOP_103_GEANT,BK,0.030000,0,30,6000,0.000000,0.000000,0.000000,0.000000
study_topology_sweep,TOP_103_GEANT,EQT,0.030000,0,30,6000,0.000000,0.000000,0.000000,0.000000
