seed,src,dst,request_idx,arrival_s,deadline_s,served,t_done_s,bits_needed,bits_delivered
18,12,13,0,0.0,5.0,True,1.2673466054176585,20.0,20.0
18,12,13,1,0.0005,5.0005,True,2.68385029427028,20.0,20.0
18,12,13,2,0.001,5.001,True,3.613379729037754,20.0,20.0
18,12,13,3,0.0015,5.0015,True,4.839008693940986,20.0,20.0
18,12,13,4,0.002,5.002,False,,20.0,0.0
18,12,13,5,0.0025000000000000005,5.0025,False,,20.0,0.0
18,12,13,6,0.003,5.003,False,,20.0,0.0
18,12,13,7,0.0035000000000000005,5.0035,False,,20.0,0.0
18,12,13,8,0.004,5.004,False,,20.0,0.0
18,12,13,9,0.0045,5.0045,False,,20.0,0.0
18,12,13,10,0.005000000000000001,5.005,False,,20.0,0.0
18,12,13,11,0.0055000000000000005,5.0055,False,,20.0,0.0
18,12,13,12,0.006,5.006,False,,20.0,0.0
18,12,13,13,0.006500000000000001,5.0065,False,,20.0,0.0
18,12,13,14,0.007000000000000001,5.007,False,,20.0,0.0
18,12,13,15,0.0075,5.0075,False,,20.0,0.0
18,12,13,16,0.008,5.008,False,,20.0,0.0
18,12,13,17,0.0085,5.0085,False,,20.0,0.0
18,12,13,18,0.009,5.009,False,,20.0,0.0
18,12,13,19,0.009500000000000001,5.0095,False,,20.0,0.0
18,12,13,20,0.010000000000000002,5.01,False,,20.0,0.0
18,12,13,21,0.0105,5.0105,False,,20.0,0.0
18,12,13,22,0.011000000000000001,5.011,False,,20.0,0.0
18,12,13,23,0.011500000000000002,5.0115,False,,20.0,0.0
18,12,13,24,0.012,5.012,False,,20.0,0.0
18,12,13,25,0.0125,5.0125,False,,20.0,0.0
18,12,13,26,0.013000000000000001,5.013,False,,20.0,0.0
18,12,13,27,0.013500000000000002,5.0135,False,,20.0,0.0
18,12,13,28,0.014000000000000002,5.014,False,,20.0,0.0
18,12,13,29,0.014499999999999999,5.0145,False,,20.0,0.0
18,12,13,30,0.015,5.015,False,,20.0,0.0
18,12,13,31,0.0155,5.0155,False,,20.0,0.0
18,12,13,32,0.016,5.016,False,,20.0,0.0
18,12,13,33,0.0165,5.0165,False,,20.0,0.0
18,12,13,34,0.017,5.017,False,,20.0,0.0
18,12,13,35,0.017499999999999998,5.0175,False,,20.0,0.0
18,12,13,36,0.018,5.018,False,,20.0,0.0
18,12,13,37,0.0185,5.0185,False,,20.0,0.0
18,12,13,38,0.019000000000000003,5.019,False,,20.0,0.0
18,12,13,39,0.019500000000000003,5.0195,False,,20.0,0.0
18,12,13,40,0.020000000000000004,5.02,False,,20.0,0.0
18,12,13,41,0.0205,5.0205,False,,20.0,0.0
18,12,13,42,0.021,5.021,False,,20.0,0.0
18,12,13,43,0.021500000000000002,5.0215,False,,20.0,0.0
18,12,13,44,0.022000000000000002,5.022,False,,20.0,0.0
18,12,13,45,0.022500000000000003,5.0225,False,,20.0,0.0
18,12,13,46,0.023000000000000003,5.023,False,,20.0,0.0
18,12,13,47,0.0235,5.0235,False,,20.0,0.0
18,12,13,48,0.024,5.024,False,,20.0,0.0
18,12,13,49,0.0245,5.0245,False,,20.0,0.0
18,12,13,50,0.025,5.025,False,,20.0,0.0
18,12,13,51,0.025500000000000002,5.0255,False,,20.0,0.0
18,12,13,52,0.026000000000000002,5.026,False,,20.0,0.0
18,12,13,53,0.026500000000000003,5.0265,False,,20.0,0.0
18,12,13,54,0.027000000000000003,5.027,False,,20.0,0.0
18,12,13,55,0.027500000000000004,5.0275,False,,20.0,0.0
18,12,13,56,0.028000000000000004,5.028,False,,20.0,0.0
18,12,13,57,0.028499999999999998,5.0285,False,,20.0,0.0
18,12,13,58,0.028999999999999998,5.029,False,,20.0,0.0
18,12,13,59,0.0295,5.0295,False,,20.0,0.0
18,12,13,60,0.03,5.03,False,,20.0,0.0
18,12,13,61,0.0305,5.0305,False,,20.0,0.0
18,12,13,62,0.031,5.031,False,,20.0,0.0
18,12,13,63,0.0315,5.0315,False,,20.0,0.0
18,12,13,64,0.032,5.032,False,,20.0,0.0
18,12,13,65,0.0325,5.0325,False,,20.0,0.0
18,12,13,66,0.033,5.033,False,,20.0,0.0
18,12,13,67,0.0335,5.0335,False,,20.0,0.0
18,12,13,68,0.034,5.034,False,,20.0,0.0
18,12,13,69,0.034499999999999996,5.0345,False,,20.0,0.0
18,12,13,70,0.034999999999999996,5.035,False,,20.0,0.0
18,12,13,71,0.0355,5.0355,False,,20.0,0.0
18,12,13,72,0.036,5.036,False,,20.0,0.0
18,12,13,73,0.0365,5.0365,False,,20.0,0.0
18,12,13,74,0.037,5.037,False,,20.0,0.0
18,12,13,75,0.037500000000000006,5.0375,False,,20.0,0.0
18,12,13,76,0.038000000000000006,5.038,False,,20.0,0.0
18,12,13,77,0.038500000000000006,5.0385,False,,20.0,0.0
18,12,13,78,0.03900000000000001,5.039,False,,20.0,0.0
18,12,13,79,0.03950000000000001,5.0395,False,,20.0,0.0
18,12,13,80,0.04000000000000001,5.04,False,,20.0,0.0
18,12,13,81,0.04050000000000001,5.0405,False,,20.0,0.0
18,12,13,82,0.041,5.041,False,,20.0,0.0
18,12,13,83,0.0415,5.0415,False,,20.0,0.0
18,12,13,84,0.042,5.042,False,,20.0,0.0
18,12,13,85,0.0425,5.0425,False,,20.0,0.0
18,12,13,86,0.043000000000000003,5.043,False,,20.0,0.0
18,12,13,87,0.043500000000000004,5.0435,False,,20.0,0.0
18,12,13,88,0.044000000000000004,5.044,False,,20.0,0.0
18,12,13,89,0.044500000000000005,5.0445,False,,20.0,0.0
18,12,13,90,0.045000000000000005,5.045,False,,20.0,0.0
18,12,13,91,0.045500000000000006,5.0455,False,,20.0,0.0
18,12,13,92,0.046000000000000006,5.046,False,,20.0,0.0
18,12,13,93,0.04650000000000001,5.0465,False,,20.0,0.0
18,12,13,94,0.047,5.047,False,,20.0,0.0
18,12,13,95,0.0475,5.0475,False,,20.0,0.0
18,12,13,96,0.048,5.048,False,,20.0,0.0
18,12,13,97,0.0485,5.0485,False,,20.0,0.0
18,12,13,98,0.049,5.049,False,,20.0,0.0
18,12,13,99,0.0495,5.0495,False,,20.0,0.0
18,12,13,100,0.05,5.05,False,,20.0,0.0
18,12,13,101,0.0505,5.0505,False,,20.0,0.0
18,12,13,102,0.051000000000000004,5.051,False,,20.0,0.0
18,12,13,103,0.051500000000000004,5.0515,False,,20.0,0.0
