request_id,src,dst,t_start,deadline,success,t_finish
0,12,13,0.0,5.0,1,0.6886919183595183
1,12,13,0.0005,5.0005,1,1.5681049861928034
2,12,13,0.001,5.001,1,2.370776105640036
3,12,13,0.0015,5.0015,1,2.9182723756497
4,12,13,0.002,5.002,1,3.785179182732137
5,12,13,0.0025000000000000005,5.0025,1,4.492023099271416
6,12,13,0.003,5.003,0,
7,12,13,0.0035000000000000005,5.0035,0,
8,12,13,0.004,5.004,0,
9,12,13,0.0045,5.0045,0,
10,12,13,0.005000000000000001,5.005,0,
11,12,13,0.0055000000000000005,5.0055,0,
12,12,13,0.006,5.006,0,
13,12,13,0.006500000000000001,5.0065,0,
