scenario,seed,success_rate
BK,0,0.02
BK,1,0.02
BK,2,0.02
BK,3,0.025
BK,4,0.02
BK,5,0.02
BK,6,0.025
BK,7,0.02
BK,8,0.025
BK,9,0.02
BK,10,0.02
BK,11,0.025
BK,12,0.02
BK,13,0.025
BK,14,0.02
BK,15,0.02
BK,16,0.02
BK,17,0.03
BK,18,0.02
BK,19,0.025
BK,20,0.025
BK,21,0.02
BK,22,0.02
BK,23,0.025
BK,24,0.02
BK,25,0.02
BK,26,0.02
BK,27,0.02
BK,28,0.025
BK,29,0.02
EQT,0,0.03
EQT,1,0.03
EQT,2,0.035
EQT,3,0.035
EQT,4,0.03
EQT,5,0.03
EQT,6,0.04
EQT,7,0.035
EQT,8,0.035
EQT,9,0.03
EQT,10,0.03
EQT,11,0.035
EQT,12,0.03
EQT,13,0.035
EQT,14,0.03
EQT,15,0.03
EQT,16,0.03
EQT,17,0.04
EQT,18,0.03
EQT,19,0.03
EQT,20,0.035
EQT,21,0.035
EQT,22,0.035
EQT,23,0.03
EQT,24,0.03
EQT,25,0.035
EQT,26,0.03
EQT,27,0.03
EQT,28,0.035
EQT,29,0.03
