seed,scenario,eta,n_requests,n_served,n_success,n_requests_with_teleport,teleport_request_fraction,path_edges_total,path_edges_teleport,teleport_edge_fraction
0,BK,0.03,200,4,4,0,0.0,8,0,0.0
1,BK,0.03,200,4,4,0,0.0,8,0,0.0
2,BK,0.03,200,4,4,0,0.0,8,0,0.0
3,BK,0.03,200,5,5,0,0.0,8,0,0.0
4,BK,0.03,200,4,4,0,0.0,8,0,0.0
5,BK,0.03,200,4,4,0,0.0,8,0,0.0
6,BK,0.03,200,5,5,0,0.0,8,0,0.0
7,BK,0.03,200,4,4,0,0.0,8,0,0.0
8,BK,0.03,200,5,5,0,0.0,8,0,0.0
9,BK,0.03,200,4,4,0,0.0,8,0,0.0
10,BK,0.03,200,4,4,0,0.0,8,0,0.0
11,BK,0.03,200,5,5,0,0.0,8,0,0.0
12,BK,0.03,200,4,4,0,0.0,8,0,0.0
13,BK,0.03,200,5,5,0,0.0,8,0,0.0
14,BK,0.03,200,4,4,0,0.0,8,0,0.0
15,BK,0.03,200,4,4,0,0.0,8,0,0.0
16,BK,0.03,200,4,4,0,0.0,8,0,0.0
17,BK,0.03,200,6,6,0,0.0,8,0,0.0
18,BK,0.03,200,4,4,0,0.0,8,0,0.0
19,BK,0.03,200,5,5,0,0.0,8,0,0.0
20,BK,0.03,200,5,5,0,0.0,8,0,0.0
21,BK,0.03,200,4,4,0,0.0,8,0,0.0
22,BK,0.03,200,4,4,0,0.0,8,0,0.0
23,BK,0.03,200,5,5,0,0.0,8,0,0.0
24,BK,0.03,200,4,4,0,0.0,8,0,0.0
25,BK,0.03,200,4,4,0,0.0,8,0,0.0
26,BK,0.03,200,4,4,0,0.0,8,0,0.0
27,BK,0.03,200,4,4,0,0.0,8,0,0.0
28,BK,0.03,200,5,5,0,0.0,8,0,0.0
29,BK,0.03,200,4,4,0,0.0,8,0,0.0
0,DQT,0.03,200,6,6,0,0.0,8,0,0.0
1,DQT,0.03,200,6,6,0,0.0,8,0,0.0
2,DQT,0.03,200,7,7,0,0.0,8,0,0.0
3,DQT,0.03,200,7,7,0,0.0,8,0,0.0
4,DQT,0.03,200,6,6,0,0.0,8,0,0.0
5,DQT,0.03,200,6,6,0,0.0,8,0,0.0
6,DQT,0.03,200,8,8,0,0.0,8,0,0.0
7,DQT,0.03,200,7,7,0,0.0,8,0,0.0
8,DQT,0.03,200,7,7,0,0.0,8,0,0.0
9,DQT,0.03,200,6,6,0,0.0,8,0,0.0
10,DQT,0.03,200,6,6,0,0.0,8,0,0.0
11,DQT,0.03,200,7,7,0,0.0,8,0,0.0
12,DQT,0.03,200,6,6,0,0.0,8,0,0.0
13,DQT,0.03,200,7,7,0,0.0,8,0,0.0
14,DQT,0.03,200,6,6,0,0.0,8,0,0.0
15,DQT,0.03,200,6,6,0,0.0,8,0,0.0
16,DQT,0.03,200,6,6,0,0.0,8,0,0.0
17,DQT,0.03,200,8,8,0,0.0,8,0,0.0
18,DQT,0.03,200,6,6,0,0.0,8,0,0.0
19,DQT,0.03,200,6,6,0,0.0,8,0,0.0
20,DQT,0.03,200,7,7,0,0.0,8,0,0.0
21,DQT,0.03,200,7,7,0,0.0,8,0,0.0
22,DQT,0.03,200,7,7,0,0.0,8,0,0.0
23,DQT,0.03,200,6,6,0,0.0,8,0,0.0
24,DQT,0.03,200,6,6,0,0.0,8,0,0.0
25,DQT,0.03,200,7,7,0,0.0,8,0,0.0
26,DQT,0.03,200,6,6,0,0.0,8,0,0.0
27,DQT,0.03,200,6,6,0,0.0,8,0,0.0
28,DQT,0.03,200,7,7,0,0.0,8,0,0.0
29,DQT,0.03,200,6,6,0,0.0,8,0,0.0
0,EQT,0.03,200,6,6,0,0.0,8,0,0.0
1,EQT,0.03,200,6,6,0,0.0,8,0,0.0
2,EQT,0.03,200,7,7,0,0.0,8,0,0.0
3,EQT,0.03,200,7,7,0,0.0,8,0,0.0
4,EQT,0.03,200,6,6,0,0.0,8,0,0.0
5,EQT,0.03,200,6,6,0,0.0,8,0,0.0
6,EQT,0.03,200,8,8,0,0.0,8,0,0.0
7,EQT,0.03,200,7,7,0,0.0,8,0,0.0
8,EQT,0.03,200,7,7,0,0.0,8,0,0.0
9,EQT,0.03,200,6,6,0,0.0,8,0,0.0
10,EQT,0.03,200,6,6,0,0.0,8,0,0.0
11,EQT,0.03,200,7,7,0,0.0,8,0,0.0
12,EQT,0.03,200,6,6,0,0.0,8,0,0.0
13,EQT,0.03,200,7,7,0,0.0,8,0,0.0
14,EQT,0.03,200,6,6,0,0.0,8,0,0.0
15,EQT,0.03,200,6,6,0,0.0,8,0,0.0
16,EQT,0.03,200,6,6,0,0.0,8,0,0.0
17,EQT,0.03,200,8,8,0,0.0,8,0,0.0
18,EQT,0.03,200,6,6,0,0.0,8,0,0.0
19,EQT,0.03,200,6,6,0,0.0,8,0,0.0
20,EQT,0.03,200,7,7,0,0.0,8,0,0.0
21,EQT,0.03,200,7,7,0,0.0,8,0,0.0
22,EQT,0.03,200,7,7,0,0.0,8,0,0.0
23,EQT,0.03,200,6,6,0,0.0,8,0,0.0
24,EQT,0.03,200,6,6,0,0.0,8,0,0.0
25,EQT,0.03,200,7,7,0,0.0,8,0,0.0
26,EQT,0.03,200,6,6,0,0.0,8,0,0.0
27,EQT,0.03,200,6,6,0,0.0,8,0,0.0
28,EQT,0.03,200,7,7,0,0.0,8,0,0.0
29,EQT,0.03,200,6,6,0,0.0,8,0,0.0
